release_date,crop,line_item,value_reported
2015-04-09,soybeans,yield,47.8
2015-04-09,wheat,ending_stocks,684.0
2015-04-09,wheat,production,2026.0
2015-04-09,wheat,yield,43.7
2015-05-12,corn,ending_stocks,1746.0
2015-05-12,corn,production,13630.0
2015-05-12,corn,yield,171.0
2015-05-12,soybeans,ending_stocks,500.0
2015-05-12,soybeans,production,3850.0
2015-05-12,soybeans,yield,47.8
2015-05-12,wheat,ending_stocks,793.0
2015-05-12,wheat,production,2087.0
2015-05-12,wheat,yield,43.7
2015-06-10,corn,ending_stocks,1771.0
2015-06-10,corn,production,13630.0
2015-06-10,corn,yield,171.0
2015-06-10,soybeans,ending_stocks,475.0
2015-06-10,soybeans,production,3850.0
2015-06-10,soybeans,yield,47.8
2015-06-10,wheat,ending_stocks,814.0
2015-06-10,wheat,production,2121.0
2015-06-10,wheat,yield,43.7
2015-07-10,corn,ending_stocks,1599.0
2015-07-10,corn,production,13530.0
2015-07-10,corn,yield,171.0
2015-07-10,soybeans,ending_stocks,425.0
2015-07-10,soybeans,production,3885.0
2015-07-10,soybeans,yield,47.8
2015-07-10,wheat,ending_stocks,842.0
2015-07-10,wheat,production,2148.0
2015-07-10,wheat,yield,44.3
2015-08-12,corn,ending_stocks,1713.0
2015-08-12,corn,production,13686.0
2015-08-12,corn,yield,168.8
2015-08-12,soybeans,ending_stocks,470.0
2015-08-12,soybeans,production,3916.0
2015-08-12,soybeans,yield,46.9
2015-08-12,wheat,ending_stocks,850.0
2015-08-12,wheat,production,2136.0
2015-08-12,wheat,yield,44.1
2015-09-11,corn,ending_stocks,1592.0
2015-09-11,corn,production,13585.0
2015-09-11,corn,yield,167.5
2015-09-11,soybeans,ending_stocks,450.0
2015-09-11,soybeans,production,3935.0
2015-09-11,soybeans,yield,47.1
2015-09-11,wheat,ending_stocks,875.0
2015-09-11,wheat,production,2136.0
2015-09-11,wheat,yield,44.1
2015-10-09,corn,ending_stocks,1561.0
2015-10-09,corn,production,13555.0
2015-10-09,corn,yield,168.0
2015-10-09,soybeans,ending_stocks,425.0
2015-10-09,soybeans,production,3888.0
2015-10-09,soybeans,yield,47.2
2015-10-09,wheat,ending_stocks,861.0
2015-10-09,wheat,production,2052.0
2015-10-09,wheat,yield,43.6
2015-11-10,corn,ending_stocks,1760.0
2015-11-10,corn,production,13654.0
2015-11-10,corn,yield,169.3
2015-11-10,soybeans,ending_stocks,465.0
2015-11-10,soybeans,production,3981.0
2015-11-10,soybeans,yield,48.3
2015-11-10,wheat,ending_stocks,911.0
2015-11-10,wheat,production,2052.0
2015-11-10,wheat,yield,43.6
2015-12-09,corn,ending_stocks,1785.0
2015-12-09,corn,production,13654.0
2015-12-09,corn,yield,169.3
2015-12-09,soybeans,ending_stocks,465.0
2015-12-09,soybeans,production,3981.0
2015-12-09,soybeans,yield,48.3
2015-12-09,wheat,ending_stocks,911.0
2015-12-09,wheat,production,2052.0
2015-12-09,wheat,yield,43.6
2016-01-12,corn,ending_stocks,1802.0
2016-01-12,corn,production,13601.0
2016-01-12,corn,yield,168.4
2016-01-12,soybeans,ending_stocks,440.0
2016-01-12,soybeans,production,3930.0
2016-01-12,soybeans,yield,48.0
2016-01-12,wheat,ending_stocks,941.0
2016-01-12,wheat,production,2052.0
2016-01-12,wheat,yield,43.6
2016-02-09,corn,ending_stocks,1837.0
2016-02-09,corn,production,13601.0
2016-02-09,corn,yield,168.4
2016-02-09,soybeans,ending_stocks,450.0
2016-02-09,soybeans,production,3930.0
2016-02-09,soybeans,yield,48.0
2016-02-09,wheat,ending_stocks,966.0
2016-02-09,wheat,production,2052.0
2016-02-09,wheat,yield,43.6
2016-03-09,corn,ending_stocks,1837.0
2016-03-09,corn,production,13601.0
2016-03-09,corn,yield,168.4
2016-03-09,soybeans,ending_stocks,460.0
2016-03-09,soybeans,production,3929.0
2016-03-09,soybeans,yield,48.0
2016-03-09,wheat,ending_stocks,966.0
2016-03-09,wheat,production,2052.0
2016-03-09,wheat,yield,43.6
2016-04-12,corn,ending_stocks,1862.0
2016-04-12,corn,production,13601.0
2016-04-12,corn,yield,168.4
2016-04-12,soybeans,ending_stocks,445.0
2016-04-12,soybeans,production,3929.0
2016-04-12,soybeans,yield,48.0
2016-04-12,wheat,ending_stocks,976.0
2016-04-12,wheat,production,2052.0
2016-04-12,wheat,yield,43.6
2016-05-10,corn,ending_stocks,2153.0
2016-05-10,corn,production,14430.0
2016-05-10,corn,yield,168.4
2016-05-10,soybeans,ending_stocks,305.0
2016-05-10,soybeans,production,3800.0
2016-05-10,soybeans,yield,48.0
2016-05-10,wheat,ending_stocks,1029.0
2016-05-10,wheat,production,1998.0
2016-05-10,wheat,yield,43.6
2016-06-10,corn,ending_stocks,2008.0
2016-06-10,corn,production,14430.0
2016-06-10,corn,yield,168.4
2016-06-10,soybeans,ending_stocks,260.0
2016-06-10,soybeans,production,3800.0
2016-06-10,soybeans,yield,48.0
2016-06-10,wheat,ending_stocks,1050.0
2016-06-10,wheat,production,2077.0
2016-06-10,wheat,yield,43.6
2016-07-12,corn,ending_stocks,2081.0
2016-07-12,corn,production,14540.0
2016-07-12,corn,yield,168.4
2016-07-12,soybeans,ending_stocks,290.0
2016-07-12,soybeans,production,3880.0
2016-07-12,soybeans,yield,48.0
2016-07-12,wheat,ending_stocks,1105.0
2016-07-12,wheat,production,2261.0
2016-07-12,wheat,yield,51.3
2016-08-12,corn,ending_stocks,2409.0
2016-08-12,corn,production,15153.0
2016-08-12,corn,yield,175.1
2016-08-12,soybeans,ending_stocks,330.0
2016-08-12,soybeans,production,4060.0
2016-08-12,soybeans,yield,48.9
2016-08-12,wheat,ending_stocks,1100.0
2016-08-12,wheat,production,2321.0
2016-08-12,wheat,yield,52.6
2016-09-12,corn,ending_stocks,2384.0
2016-09-12,corn,production,15093.0
2016-09-12,corn,yield,174.4
2016-09-12,soybeans,ending_stocks,365.0
2016-09-12,soybeans,production,4201.0
2016-09-12,soybeans,yield,50.6
2016-09-12,wheat,ending_stocks,1100.0
2016-09-12,wheat,production,2321.0
2016-09-12,wheat,yield,52.6
2016-10-12,corn,ending_stocks,2320.0
2016-10-12,corn,production,15057.0
2016-10-12,corn,yield,173.4
2016-10-12,soybeans,ending_stocks,395.0
2016-10-12,soybeans,production,4269.0
2016-10-12,soybeans,yield,51.4
2016-10-12,wheat,ending_stocks,1138.0
2016-10-12,wheat,production,2310.0
2016-10-12,wheat,yield,52.6
2016-11-09,corn,ending_stocks,2403.0
2016-11-09,corn,production,15226.0
2016-11-09,corn,yield,175.3
2016-11-09,soybeans,ending_stocks,480.0
2016-11-09,soybeans,production,4361.0
2016-11-09,soybeans,yield,52.5
2016-11-09,wheat,ending_stocks,1143.0
2016-11-09,wheat,production,2310.0
2016-11-09,wheat,yield,52.6
2016-12-09,corn,ending_stocks,2403.0
2016-12-09,corn,production,15226.0
2016-12-09,corn,yield,175.3
2016-12-09,soybeans,ending_stocks,480.0
2016-12-09,soybeans,production,4361.0
2016-12-09,soybeans,yield,52.5
2016-12-09,wheat,ending_stocks,1143.0
2016-12-09,wheat,production,2310.0
2016-12-09,wheat,yield,52.6
2017-01-12,corn,ending_stocks,2355.0
2017-01-12,corn,production,15148.0
2017-01-12,corn,yield,174.6
2017-01-12,soybeans,ending_stocks,420.0
2017-01-12,soybeans,production,4307.0
2017-01-12,soybeans,yield,52.1
2017-01-12,wheat,ending_stocks,1186.0
2017-01-12,wheat,production,2310.0
2017-01-12,wheat,yield,52.6
2017-02-09,corn,ending_stocks,2320.0
2017-02-09,corn,production,15148.0
2017-02-09,corn,yield,174.6
2017-02-09,soybeans,ending_stocks,420.0
2017-02-09,soybeans,production,4307.0
2017-02-09,soybeans,yield,52.1
2017-02-09,wheat,ending_stocks,1139.0
2017-02-09,wheat,production,2310.0
2017-02-09,wheat,yield,52.6
2017-03-09,corn,ending_stocks,2320.0
2017-03-09,corn,production,15148.0
2017-03-09,corn,yield,174.6
2017-03-09,soybeans,ending_stocks,435.0
2017-03-09,soybeans,production,4307.0
2017-03-09,soybeans,yield,52.1
2017-03-09,wheat,ending_stocks,1129.0
2017-03-09,wheat,production,2310.0
2017-03-09,wheat,yield,52.6
2017-04-11,corn,ending_stocks,2320.0
2017-04-11,corn,production,15148.0
2017-04-11,corn,yield,174.6
2017-04-11,soybeans,ending_stocks,445.0
2017-04-11,soybeans,production,4307.0
2017-04-11,soybeans,yield,52.1
2017-04-11,wheat,ending_stocks,1159.0
2017-04-11,wheat,production,2310.0
2017-04-11,wheat,yield,52.6
2017-05-10,corn,ending_stocks,2110.0
2017-05-10,corn,production,14065.0
2017-05-10,corn,yield,174.6
2017-05-10,soybeans,ending_stocks,480.0
2017-05-10,soybeans,production,4255.0
2017-05-10,soybeans,yield,52.1
2017-05-10,wheat,ending_stocks,914.0
2017-05-10,wheat,production,1820.0
2017-05-10,wheat,yield,52.6
2017-06-09,corn,ending_stocks,2110.0
2017-06-09,corn,production,14065.0
2017-06-09,corn,yield,174.6
2017-06-09,soybeans,ending_stocks,495.0
2017-06-09,soybeans,production,4255.0
2017-06-09,soybeans,yield,52.1
2017-06-09,wheat,ending_stocks,924.0
2017-06-09,wheat,production,1824.0
2017-06-09,wheat,yield,52.6
2017-07-12,corn,ending_stocks,2325.0
2017-07-12,corn,production,14255.0
2017-07-12,corn,yield,174.6
2017-07-12,soybeans,ending_stocks,460.0
2017-07-12,soybeans,production,4260.0
2017-07-12,soybeans,yield,52.1
2017-07-12,wheat,ending_stocks,938.0
2017-07-12,wheat,production,1760.0
2017-07-12,wheat,yield,46.2
2017-08-10,corn,ending_stocks,2273.0
2017-08-10,corn,production,14153.0
2017-08-10,corn,yield,169.5
2017-08-10,soybeans,ending_stocks,475.0
2017-08-10,soybeans,production,4381.0
2017-08-10,soybeans,yield,49.4
2017-08-10,wheat,ending_stocks,933.0
2017-08-10,wheat,production,1739.0
2017-08-10,wheat,yield,45.6
2017-09-12,corn,ending_stocks,2335.0
2017-09-12,corn,production,14184.0
2017-09-12,corn,yield,169.9
2017-09-12,soybeans,ending_stocks,475.0
2017-09-12,soybeans,production,4431.0
2017-09-12,soybeans,yield,49.9
2017-09-12,wheat,ending_stocks,933.0
2017-09-12,wheat,production,1739.0
2017-09-12,wheat,yield,45.6
2017-10-12,corn,ending_stocks,2340.0
2017-10-12,corn,production,14280.0
2017-10-12,corn,yield,171.8
2017-10-12,soybeans,ending_stocks,430.0
2017-10-12,soybeans,production,4431.0
2017-10-12,soybeans,yield,49.5
2017-10-12,wheat,ending_stocks,960.0
2017-10-12,wheat,production,1741.0
2017-10-12,wheat,yield,46.3
2017-11-09,corn,ending_stocks,2487.0
2017-11-09,corn,production,14578.0
2017-11-09,corn,yield,175.4
2017-11-09,soybeans,ending_stocks,425.0
2017-11-09,soybeans,production,4425.0
2017-11-09,soybeans,yield,49.5
2017-11-09,wheat,ending_stocks,935.0
2017-11-09,wheat,production,1741.0
2017-11-09,wheat,yield,46.3
2017-12-12,corn,ending_stocks,2437.0
2017-12-12,corn,production,14578.0
2017-12-12,corn,yield,175.4
2017-12-12,soybeans,ending_stocks,445.0
2017-12-12,soybeans,production,4425.0
2017-12-12,soybeans,yield,49.5
2017-12-12,wheat,ending_stocks,960.0
2017-12-12,wheat,production,1741.0
2017-12-12,wheat,yield,46.3
2018-01-12,corn,ending_stocks,2477.0
2018-01-12,corn,production,14604.0
2018-01-12,corn,yield,176.6
2018-01-12,soybeans,ending_stocks,470.0
2018-01-12,soybeans,production,4392.0
2018-01-12,soybeans,yield,49.1
2018-01-12,wheat,ending_stocks,989.0
2018-01-12,wheat,production,1741.0
2018-01-12,wheat,yield,46.3
2018-02-08,corn,ending_stocks,2352.0
2018-02-08,corn,production,14604.0
2018-02-08,corn,yield,176.6
2018-02-08,soybeans,ending_stocks,530.0
2018-02-08,soybeans,production,4392.0
2018-02-08,soybeans,yield,49.1
2018-02-08,wheat,ending_stocks,1009.0
2018-02-08,wheat,production,1741.0
2018-02-08,wheat,yield,46.3
2018-03-08,corn,ending_stocks,2127.0
2018-03-08,corn,production,14604.0
2018-03-08,corn,yield,176.6
2018-03-08,soybeans,ending_stocks,555.0
2018-03-08,soybeans,production,4392.0
2018-03-08,soybeans,yield,49.1
2018-03-08,wheat,ending_stocks,1034.0
2018-03-08,wheat,production,1741.0
2018-03-08,wheat,yield,46.3
2018-04-10,corn,ending_stocks,2182.0
2018-04-10,corn,production,14604.0
2018-04-10,corn,yield,176.6
2018-04-10,soybeans,ending_stocks,550.0
2018-04-10,soybeans,production,4392.0
2018-04-10,soybeans,yield,49.1
2018-04-10,wheat,ending_stocks,1064.0
2018-04-10,wheat,production,1741.0
2018-04-10,wheat,yield,46.3
2018-05-10,corn,ending_stocks,1682.0
2018-05-10,corn,production,14040.0
2018-05-10,corn,yield,176.6
2018-05-10,soybeans,ending_stocks,415.0
2018-05-10,soybeans,production,4280.0
2018-05-10,soybeans,yield,49.1
2018-05-10,wheat,ending_stocks,955.0
2018-05-10,wheat,production,1821.0
2018-05-10,wheat,yield,46.3
2018-06-12,corn,ending_stocks,1577.0
2018-06-12,corn,production,14040.0
2018-06-12,corn,yield,176.6
2018-06-12,soybeans,ending_stocks,385.0
2018-06-12,soybeans,production,4280.0
2018-06-12,soybeans,yield,49.1
2018-06-12,wheat,ending_stocks,946.0
2018-06-12,wheat,production,1827.0
2018-06-12,wheat,yield,46.3
2018-07-12,corn,ending_stocks,1552.0
2018-07-12,corn,production,14230.0
2018-07-12,corn,yield,176.6
2018-07-12,soybeans,ending_stocks,580.0
2018-07-12,soybeans,production,4310.0
2018-07-12,soybeans,yield,49.1
2018-07-12,wheat,ending_stocks,985.0
2018-07-12,wheat,production,1881.0
2018-07-12,wheat,yield,47.5
2018-08-10,corn,ending_stocks,1684.0
2018-08-10,corn,production,14586.0
2018-08-10,corn,yield,178.4
2018-08-10,soybeans,ending_stocks,785.0
2018-08-10,soybeans,production,4586.0
2018-08-10,soybeans,yield,51.6
2018-08-10,wheat,ending_stocks,935.0
2018-08-10,wheat,production,1877.0
2018-08-10,wheat,yield,47.4
2018-09-12,corn,ending_stocks,1774.0
2018-09-12,corn,production,14827.0
2018-09-12,corn,yield,181.3
2018-09-12,soybeans,ending_stocks,845.0
2018-09-12,soybeans,production,4693.0
2018-09-12,soybeans,yield,52.8
2018-09-12,wheat,ending_stocks,935.0
2018-09-12,wheat,production,1877.0
2018-09-12,wheat,yield,47.4
2018-10-11,corn,ending_stocks,1813.0
2018-10-11,corn,production,14778.0
2018-10-11,corn,yield,180.7
2018-10-11,soybeans,ending_stocks,885.0
2018-10-11,soybeans,production,4690.0
2018-10-11,soybeans,yield,53.1
2018-10-11,wheat,ending_stocks,956.0
2018-10-11,wheat,production,1884.0
2018-10-11,wheat,yield,47.6
2018-11-08,corn,ending_stocks,1736.0
2018-11-08,corn,production,14626.0
2018-11-08,corn,yield,178.9
2018-11-08,soybeans,ending_stocks,955.0
2018-11-08,soybeans,production,4600.0
2018-11-08,soybeans,yield,52.1
2018-11-08,wheat,ending_stocks,949.0
2018-11-08,wheat,production,1884.0
2018-11-08,wheat,yield,47.6
2018-12-11,corn,ending_stocks,1781.0
2018-12-11,corn,production,14626.0
2018-12-11,corn,yield,178.9
2018-12-11,soybeans,ending_stocks,955.0
2018-12-11,soybeans,production,4600.0
2018-12-11,soybeans,yield,52.1
2018-12-11,wheat,ending_stocks,974.0
2018-12-11,wheat,production,1884.0
2018-12-11,wheat,yield,47.6
2018-12-14,corn,ending_stocks,1781.0
2018-12-14,corn,production,14626.0
2018-12-14,corn,yield,178.9
2018-12-14,soybeans,ending_stocks,955.0
2018-12-14,soybeans,production,4600.0
2018-12-14,soybeans,yield,52.1
2018-12-14,wheat,ending_stocks,974.0
2018-12-14,wheat,production,1884.0
2018-12-14,wheat,yield,47.6
2019-02-08,corn,ending_stocks,1735.0
2019-02-08,corn,production,14420.0
2019-02-08,corn,yield,176.4
2019-02-08,soybeans,ending_stocks,910.0
2019-02-08,soybeans,production,4544.0
2019-02-08,soybeans,yield,51.6
2019-02-08,wheat,ending_stocks,1010.0
2019-02-08,wheat,production,1884.0
2019-02-08,wheat,yield,47.6
2019-03-08,corn,ending_stocks,1835.0
2019-03-08,corn,production,14420.0
2019-03-08,corn,yield,176.4
2019-03-08,soybeans,ending_stocks,900.0
2019-03-08,soybeans,production,4544.0
2019-03-08,soybeans,yield,51.6
2019-03-08,wheat,ending_stocks,1055.0
2019-03-08,wheat,production,1884.0
2019-03-08,wheat,yield,47.6
2019-04-09,corn,ending_stocks,2035.0
2019-04-09,corn,production,14420.0
2019-04-09,corn,yield,176.4
2019-04-09,soybeans,ending_stocks,895.0
2019-04-09,soybeans,production,4544.0
2019-04-09,soybeans,yield,51.6
2019-04-09,wheat,ending_stocks,1087.0
2019-04-09,wheat,production,1884.0
2019-04-09,wheat,yield,47.6
2019-05-10,corn,ending_stocks,2485.0
2019-05-10,corn,production,15030.0
2019-05-10,corn,yield,176.4
2019-05-10,soybeans,ending_stocks,970.0
2019-05-10,soybeans,production,4150.0
2019-05-10,soybeans,yield,51.6
2019-05-10,wheat,ending_stocks,1141.0
2019-05-10,wheat,production,1897.0
2019-05-10,wheat,yield,47.6
2019-06-11,corn,ending_stocks,1675.0
2019-06-11,corn,production,13680.0
2019-06-11,corn,yield,176.4
2019-06-11,soybeans,ending_stocks,1045.0
2019-06-11,soybeans,production,4150.0
2019-06-11,soybeans,yield,51.6
2019-06-11,wheat,ending_stocks,1072.0
2019-06-11,wheat,production,1903.0
2019-06-11,wheat,yield,47.6
2019-07-11,corn,ending_stocks,2010.0
2019-07-11,corn,production,13875.0
2019-07-11,corn,yield,176.4
2019-07-11,soybeans,ending_stocks,795.0
2019-07-11,soybeans,production,3845.0
2019-07-11,soybeans,yield,51.6
2019-07-11,wheat,ending_stocks,1000.0
2019-07-11,wheat,production,1921.0
2019-07-11,wheat,yield,50.0
2019-08-12,corn,ending_stocks,2181.0
2019-08-12,corn,production,13901.0
2019-08-12,corn,yield,169.5
2019-08-12,soybeans,ending_stocks,755.0
2019-08-12,soybeans,production,3680.0
2019-08-12,soybeans,yield,48.5
2019-08-12,wheat,ending_stocks,1014.0
2019-08-12,wheat,production,1980.0
2019-08-12,wheat,yield,51.6
2019-09-12,corn,ending_stocks,2190.0
2019-09-12,corn,production,13799.0
2019-09-12,corn,yield,168.2
2019-09-12,soybeans,ending_stocks,640.0
2019-09-12,soybeans,production,3633.0
2019-09-12,soybeans,yield,47.9
2019-09-12,wheat,ending_stocks,1014.0
2019-09-12,wheat,production,1980.0
2019-09-12,wheat,yield,51.6
2019-10-10,corn,ending_stocks,1929.0
2019-10-10,corn,production,13779.0
2019-10-10,corn,yield,168.4
2019-10-10,soybeans,ending_stocks,460.0
2019-10-10,soybeans,production,3550.0
2019-10-10,soybeans,yield,46.9
2019-10-10,wheat,ending_stocks,1043.0
2019-10-10,wheat,production,1962.0
2019-10-10,wheat,yield,51.6
2019-11-08,corn,ending_stocks,1910.0
2019-11-08,corn,production,13661.0
2019-11-08,corn,yield,167.0
2019-11-08,soybeans,ending_stocks,475.0
2019-11-08,soybeans,production,3550.0
2019-11-08,soybeans,yield,46.9
2019-11-08,wheat,ending_stocks,1014.0
2019-11-08,wheat,production,1920.0
2019-11-08,wheat,yield,51.7
2019-12-10,corn,ending_stocks,1910.0
2019-12-10,corn,production,13661.0
2019-12-10,corn,yield,167.0
2019-12-10,soybeans,ending_stocks,475.0
2019-12-10,soybeans,production,3550.0
2019-12-10,soybeans,yield,46.9
2019-12-10,wheat,ending_stocks,974.0
2019-12-10,wheat,production,1920.0
2019-12-10,wheat,yield,51.7
2020-01-10,corn,ending_stocks,1892.0
2020-01-10,corn,production,13692.0
2020-01-10,corn,yield,168.0
2020-01-10,soybeans,ending_stocks,475.0
2020-01-10,soybeans,production,3558.0
2020-01-10,soybeans,yield,47.4
2020-01-10,wheat,ending_stocks,965.0
2020-01-10,wheat,production,1920.0
2020-01-10,wheat,yield,51.7
2020-02-11,corn,ending_stocks,1892.0
2020-02-11,corn,production,13692.0
2020-02-11,corn,yield,168.0
2020-02-11,soybeans,ending_stocks,425.0
2020-02-11,soybeans,production,3558.0
2020-02-11,soybeans,yield,47.4
2020-02-11,wheat,ending_stocks,940.0
2020-02-11,wheat,production,1920.0
2020-02-11,wheat,yield,51.7
2020-03-10,corn,ending_stocks,1892.0
2020-03-10,corn,production,13692.0
2020-03-10,corn,yield,168.0
2020-03-10,soybeans,ending_stocks,425.0
2020-03-10,soybeans,production,3558.0
2020-03-10,soybeans,yield,47.4
2020-03-10,wheat,ending_stocks,940.0
2020-03-10,wheat,production,1920.0
2020-03-10,wheat,yield,51.7
2020-04-09,corn,ending_stocks,2092.0
2020-04-09,corn,production,13692.0
2020-04-09,corn,yield,168.0
2020-04-09,soybeans,ending_stocks,480.0
2020-04-09,soybeans,production,3558.0
2020-04-09,soybeans,yield,47.4
2020-04-09,wheat,ending_stocks,970.0
2020-04-09,wheat,production,1920.0
2020-04-09,wheat,yield,51.7
2020-05-12,corn,ending_stocks,3318.0
2020-05-12,corn,production,15995.0
2020-05-12,corn,yield,167.8
2020-05-12,soybeans,ending_stocks,405.0
2020-05-12,soybeans,production,4125.0
2020-05-12,soybeans,yield,47.4
2020-05-12,wheat,ending_stocks,909.0
2020-05-12,wheat,production,1866.0
2020-05-12,wheat,yield,51.7
2020-06-11,corn,ending_stocks,3323.0
2020-06-11,corn,production,15995.0
2020-06-11,corn,yield,167.4
2020-06-11,soybeans,ending_stocks,395.0
2020-06-11,soybeans,production,4125.0
2020-06-11,soybeans,yield,47.4
2020-06-11,wheat,ending_stocks,925.0
2020-06-11,wheat,production,1877.0
2020-06-11,wheat,yield,51.7
2020-07-10,corn,ending_stocks,2648.0
2020-07-10,corn,production,15000.0
2020-07-10,corn,yield,167.4
2020-07-10,soybeans,ending_stocks,425.0
2020-07-10,soybeans,production,4135.0
2020-07-10,soybeans,yield,47.4
2020-07-10,wheat,ending_stocks,942.0
2020-07-10,wheat,production,1824.0
2020-07-10,wheat,yield,49.7
2020-08-12,corn,ending_stocks,2756.0
2020-08-12,corn,production,15278.0
2020-08-12,corn,yield,181.8
2020-08-12,soybeans,ending_stocks,610.0
2020-08-12,soybeans,production,4425.0
2020-08-12,soybeans,yield,53.3
